,RMSE A,dRMSE A,Topic Cover A,RMSE A+F,dRMSE A+F,Topic Cover A+F,RMSE A+D,dRMSE A+D,Topic Cover A+D,RMSE A+F+D,dRMSE A+F+D,Topic Cover A+F+D
PMF before,0.9089835286140442,0.0414571166038513,9.18195343017578,0.908962607383728,0.0415874719619751,9.185596466064451,0.908996045589447,0.041416049003601,9.17433738708496,0.9089911580085754,0.0414342880249023,9.178145408630373
PMF after,0.9066553115844728,0.0306331515312194,9.3836088180542,0.9064913392066956,0.0310443043708801,9.35413932800293,0.9065621495246888,0.0305721759796142,9.368542671203612,0.9065913558006288,0.0305349826812744,9.372185707092283
PMF diff,-0.0025613412743807906,-0.2610882270482434,0.02196214448394951,-0.002718778701079394,-0.2535178767474725,0.01834860289815099,-0.002677565074752364,-0.26182780069252753,0.021168317222783006,-0.0026400721137973537,-0.2630503832255392,0.02114155854182198
NCF before,0.9113502502441406,0.0403605699539184,8.567052841186523,0.9226651787757874,0.0421249866485595,8.503973960876465,0.9171172976493835,0.0415711402893066,8.655132293701172,0.9190962314605712,0.0414592027664184,8.67384147644043
NCF after,0.9264158606529236,0.0345481038093566,8.88857650756836,0.929335117340088,0.0366054773330688,8.78145694732666,0.9278855323791504,0.036456286907196,8.793045997619629,0.9289726614952089,0.0376458168029785,8.8375825881958
NCF diff,0.01653108714761098,-0.14401348026547023,0.03753025367558083,0.007228991315300748,-0.13102696889945387,0.03262980198749288,0.01174139312099598,-0.12303856344845776,0.01593432650576876,0.010745806256807766,-0.09197924004773061,0.01887757716118288
