,Precision A,NDCG A,dPrecision A,dNDCG A,Topic Cover A,Precision A+F,NDCG A+F,dPrecision A+F,dNDCG A+F,Topic Cover A+F,Precision A+D,NDCG A+D,dPrecision A+D,dNDCG A+D,Topic Cover A+D,Precision A+F+D,NDCG A+F+D,dPrecision A+F+D,dNDCG A+F+D,Topic Cover A+F+D
PMF before,0.5769495368003845,0.6192713975906372,0.0356795191764831,0.0391480922698974,22.20527458190918,0.5784403681755066,0.6213290691375732,0.0340055227279663,0.0383654832839965,22.26032066345215,0.0,0.0,0.0,0.0,0.0,0.5660549998283386,0.6102671027183533,0.0313467383384704,0.0352592468261718,23.700687408447266
PMF after,0.7169724702835083,0.7559605836868286,0.0199084877967834,0.0175023078918457,22.61582565307617,0.7183486223220825,0.7587184309959412,0.0221806764602661,0.0193749070167541,22.59403610229492,0.0,0.0,0.0,0.0,0.0,0.7159402966499329,0.7559642195701599,0.01984304189682,0.0158559083938598,24.243120193481445
PMF diff,0.24269528711237975,0.22072581848281714,-0.4420191679627399,-0.5529205415380118,0.018488898646696894,0.24187152530150846,0.22112173513637368,-0.34773311271511154,-0.49499119108357437,0.014991492884946611,0.0,0.0,0.0,0.0,0.0,0.2647892817253594,0.2387431932719597,-0.3669822460454335,-0.5503049605106567,0.022886795462347953
NCF before,0.7575687766075134,0.791300356388092,0.0159729719161987,0.0154848098754882,22.277523040771484,0.7604357600212097,0.7988824844360352,0.020120084285736,0.0113298892974853,22.871559143066406,0.7611238956451416,0.7969493269920349,0.0190483927726745,0.0180133581161499,23.538990020751957,0.7576834559440613,0.7903446555137634,0.0206549167633056,0.0192186832427978,23.338302612304688
NCF after,0.789908230304718,0.8227120637893677,0.0012843012809753,0.0040745139122009,22.06651306152344,0.7889909148216248,0.8252105712890625,0.0005186200141906,0.0070200562477111,22.86582565307617,0.7912845015525818,0.8268868923187256,0.0026652216911315,0.0057984590530395,23.527523040771484,0.795298159122467,0.8271728754043579,0.00032639503479,0.0055655241012573,23.59977149963379
NCF diff,0.04268847224937744,0.039696313982032105,-0.9195953459560717,-0.7368702654431238,-0.009471877948991958,0.037551041523374185,0.03295614482224307,-0.9742237653269503,-0.3803949832705541,-0.0002506820787500086,0.03962640784241245,0.03756520560684273,-0.8600815447823543,-0.6781022719000445,-0.00048714834282859165,0.04964435066295381,0.046597670565196925,-0.984197707571018,-0.7104107481794837,0.011203423473961083
