,Precision,NDCG,dPrecision,dNDCG,Topic Cover
zhang,0.7711009383201599,0.801914393901825,0.009666502475738525,0.01364588737487793,22.763761520385742
ziegler,0.5879586338996887,0.6791924238204956,0.0018887519836425781,0.003310859203338623,23.566513061523438
beutel,0.764678955078125,0.7987983226776123,0.004931032657623291,0.004050731658935547,22.529815673828125
ekstrand,0.7665137052536011,0.7999559044837952,0.029516935348510742,0.036528825759887695,22.887615203857422
raw,0.7575687766075134,0.791300356388092,0.01597297191619873,0.015484809875488281,22.277523040771484
