,RMSE,dRMSE,Topic Cover
zhang,0.9277270436286926,0.039003074169158936,9.160099029541016
ziegler,0.9108926057815552,0.04017394781112671,8.307947158813477
beutel,0.9184715151786804,0.040223121643066406,8.526159286499023
ekstrand,0.9252299666404724,0.07298088073730469,8.118874549865723
raw,0.9113502502441406,0.04036056995391846,8.567052841186523
