,Precision,NDCG,dPrecision,dNDCG,Topic Cover
zhang,0.5537843704223633,0.597025990486145,0.033637285232543945,0.036238253116607666,21.993120193481445
ziegler,0.4907110333442688,0.5633848309516907,0.031715065240859985,0.0343170166015625,22.691513061523438
beutel,0.5725917816162109,0.6168137192726135,0.027860045433044434,0.028893709182739258,22.096330642700195
ekstrand,0.5463302731513977,0.5908255577087402,0.020003080368041992,0.024894297122955322,22.017202377319336
raw,0.5769495368003845,0.6192713975906372,0.035679519176483154,0.03914809226989746,22.20527458190918
